ICD9dx,CCS Category,CCS Category Description
'66440','193  ','OB-related perin trauma'
'66441','193  ','OB-related perin trauma'
'66444','193  ','OB-related perin trauma'
'66450','193  ','OB-related perin trauma'
'66451','193  ','OB-related perin trauma'
'66454','193  ','OB-related perin trauma'
'66460','193  ','OB-related perin trauma'
'66461','193  ','OB-related perin trauma'
'66464','193  ','OB-related perin trauma'
'66480','193  ','OB-related perin trauma'
'66481','193  ','OB-related perin trauma'
'66484','193  ','OB-related perin trauma'
'66490','193  ','OB-related perin trauma'
'66491','193  ','OB-related perin trauma'
'66494','193  ','OB-related perin trauma'
'66950','194  ','Forceps del'
'66951','194  ','Forceps del'
'64970','195  ','Ot compl bir'
'64971','195  ','Ot compl bir'
'64973','195  ','Ot compl bir'
'64981','195  ','Ot compl bir'
'64982','195  ','Ot compl bir'
'65103','195  ','Ot compl bir'
'65113','195  ','Ot compl bir'
'65123','195  ','Ot compl bir'
'65130','195  ','Ot compl bir'
'65131','195  ','Ot compl bir'
'65133','195  ','Ot compl bir'
'65140','195  ','Ot compl bir'
'65141','195  ','Ot compl bir'
'65143','195  ','Ot compl bir'
'65150','195  ','Ot compl bir'
'65151','195  ','Ot compl bir'
'65153','195  ','Ot compl bir'
'65160','195  ','Ot compl bir'
'65161','195  ','Ot compl bir'
'65163','195  ','Ot compl bir'
'65183','195  ','Ot compl bir'
'65193','195  ','Ot compl bir'
'65400','195  ','Ot compl bir'
'65401','195  ','Ot compl bir'
'65402','195  ','Ot compl bir'
'65403','195  ','Ot compl bir'
'65404','195  ','Ot compl bir'
'65410','195  ','Ot compl bir'
'65411','195  ','Ot compl bir'
'65412','195  ','Ot compl bir'
'65413','195  ','Ot compl bir'
'65414','195  ','Ot compl bir'
'65430','195  ','Ot compl bir'
'65431','195  ','Ot compl bir'
'65432','195  ','Ot compl bir'
'65433','195  ','Ot compl bir'
'65434','195  ','Ot compl bir'
'65440','195  ','Ot compl bir'
'65441','195  ','Ot compl bir'
'65442','195  ','Ot compl bir'
'65443','195  ','Ot compl bir'
'65444','195  ','Ot compl bir'
'65450','195  ','Ot compl bir'
'65451','195  ','Ot compl bir'
'65452','195  ','Ot compl bir'
'65453','195  ','Ot compl bir'
'65454','195  ','Ot compl bir'
'65460','195  ','Ot compl bir'
'65461','195  ','Ot compl bir'
'65462','195  ','Ot compl bir'
'65463','195  ','Ot compl bir'
'65464','195  ','Ot compl bir'
'65470','195  ','Ot compl bir'
'65471','195  ','Ot compl bir'
'65472','195  ','Ot compl bir'
'65473','195  ','Ot compl bir'
'65474','195  ','Ot compl bir'
'65480','195  ','Ot compl bir'
'65481','195  ','Ot compl bir'
'65482','195  ','Ot compl bir'
